Trade_ID,User_ID,Stock_ID,Order_Type,Order_Mode,Trade_Date,Trade_Time,Quantity,Price_Per_Share,Total_Value,BrokerageFee,Exchange,Sector,Trade_Status,Settlement_Date,Currency,StopLoss,Target_Price,Holding_Type
4001,385,142,Sell,StopLoss,02-07-2025,23:07:09,306,1008.04,308460.24,16.83,BSE,Energy,Cancelled,26-08-2024,INR,977.11,1039.82,Delivery
4002,289,252,Buy,StopLoss,30-12-2024,05:53:37,470,2723.42,1280007.4,26.48,BSE,FMCG,Pending,05-11-2024,INR,2706.05,2772.91,F&O
4003,454,149,Buy,StopLoss,07-08-2025,05:44:07,927,950.21,880844.67,32.53,BSE,Energy,Pending,17-01-2025,INR,943.96,995.93,F&O
4004,125,171,Buy,Limit,29-03-2025,10:27:56,117,4793.69,560861.73,77.55,NSE,Auto,Cancelled,08-05-2025,INR,4765.12,4810.84,F&O
4005,477,101,Sell,Market,23-05-2025,04:16:10,738,3825,2822850,24.78,NSE,Pharma,Executed,08-10-2024,INR,3778.5,3833.29,F&O
4006,416,113,Sell,StopLoss,22-05-2025,01:34:44,623,3479.02,2167429.46,74.98,BSE,FMCG,Executed,15-09-2024,INR,3440.97,3488.1,Delivery
4007,108,292,Sell,Market,24-12-2024,02:11:24,5,3237.77,16188.85,40.45,NSE,Auto,Pending,27-10-2024,INR,3200.76,3272.01,Delivery
4008,256,292,Sell,StopLoss,15-06-2025,08:34:12,490,2118.45,1038040.5,39.58,NSE,Auto,Cancelled,23-01-2025,INR,2070.48,2165.72,F&O
4009,293,181,Sell,Market,29-08-2024,14:25:11,314,2388.5,749989,13.9,NSE,Energy,Executed,29-12-2024,INR,2377.52,2409.14,F&O
4010,246,114,Buy,Market,13-08-2025,04:07:35,191,577.39,110281.49,97.38,NSE,FMCG,Pending,08-12-2024,INR,535.55,584.01,Intraday
4011,487,275,Buy,Limit,02-06-2025,18:53:36,322,615.86,198306.92,57.08,NSE,Pharma,Cancelled,21-11-2024,INR,567.29,660.75,Intraday
4012,336,282,Buy,Market,01-05-2025,16:54:17,293,2193.7,642754.1,65.67,BSE,Energy,Executed,12-02-2025,INR,2175.03,2241.39,Delivery
4013,255,18,Sell,StopLoss,25-02-2025,01:14:27,337,506.79,170788.23,96.15,BSE,Auto,Cancelled,11-12-2024,INR,476.67,539.36,F&O
4014,407,269,Buy,StopLoss,08-02-2025,06:39:18,887,3796.04,3367087.48,71.42,NSE,Pharma,Pending,05-04-2025,INR,3784.33,3818.11,Intraday
4015,96,36,Buy,Limit,10-05-2025,04:02:55,1,2698.28,2698.28,47.87,NSE,Banking,Cancelled,16-05-2025,INR,2665.9,2745.44,Intraday
4016,427,189,Buy,Limit,21-02-2025,20:08:36,251,4767.94,1196752.94,48.34,BSE,Banking,Pending,28-05-2025,INR,4743.74,4813.42,F&O
4017,100,25,Buy,Limit,03-05-2025,03:18:56,198,2836.55,561636.9,30.13,BSE,Pharma,Pending,13-11-2024,INR,2822.56,2867.92,Delivery
4018,263,136,Buy,Market,20-01-2025,07:05:29,844,2973.73,2509828.12,36.94,NSE,Banking,Pending,14-03-2025,INR,2960.56,3003.4,Intraday
4019,42,223,Sell,Market,21-01-2025,05:12:31,848,2812.45,2384957.6,91.95,NSE,Pharma,Cancelled,16-01-2025,INR,2801.42,2851.34,F&O
4020,71,237,Buy,Market,06-09-2024,13:38:37,71,1161.73,82482.83,34.66,BSE,IT,Cancelled,06-07-2025,INR,1128.52,1184.3,F&O
4021,337,124,Sell,Limit,01-01-2025,04:04:55,744,4024.73,2994399.12,40.5,BSE,IT,Cancelled,02-12-2024,INR,4012.84,4032.29,Delivery
4022,316,192,Buy,Market,09-11-2024,12:58:50,913,1862.32,1700298.16,62.02,BSE,Banking,Cancelled,04-03-2025,INR,1812.7,1880.05,F&O
4023,96,211,Buy,Limit,22-02-2025,14:59:29,910,3347.58,3046297.8,44.75,NSE,Auto,Cancelled,04-05-2025,INR,3314.12,3366.6,Intraday
4024,436,259,Sell,Limit,27-02-2025,22:56:09,674,1710.91,1153153.34,56.58,BSE,Auto,Executed,08-08-2025,INR,1702.2,1747.51,F&O
4025,500,80,Sell,StopLoss,15-08-2025,09:22:13,857,3329.56,2853432.92,87.74,BSE,IT,Pending,12-09-2024,INR,3310.38,3374.63,Delivery
4026,202,288,Sell,Limit,15-05-2025,19:15:13,760,920.49,699572.4,93.27,BSE,FMCG,Pending,22-01-2025,INR,874.66,939.79,Intraday
4027,291,126,Sell,StopLoss,16-09-2024,05:43:28,674,245.02,165143.48,66.17,BSE,Auto,Pending,30-08-2024,INR,211.92,294.97,Delivery
4028,489,3,Buy,StopLoss,14-12-2024,12:30:38,256,1987.71,508853.76,7.7,NSE,Banking,Executed,06-03-2025,INR,1970.07,1995.15,F&O
4029,370,1,Buy,Limit,20-12-2024,22:42:52,591,1879.97,1111062.27,19.83,BSE,IT,Pending,19-09-2024,INR,1843.98,1922.58,F&O
4030,447,285,Buy,Market,16-01-2025,05:28:07,547,2498.78,1366832.66,83.15,BSE,Auto,Pending,21-11-2024,INR,2479.57,2518.75,Delivery
4031,14,118,Sell,StopLoss,25-07-2025,14:15:57,936,4569.58,4277126.88,90.36,BSE,Energy,Executed,12-05-2025,INR,4530.66,4591.13,Intraday
4032,61,176,Buy,StopLoss,21-09-2024,19:58:30,406,3607.12,1464490.72,85.98,BSE,Pharma,Pending,03-11-2024,INR,3565.65,3641.06,Intraday
4033,478,18,Buy,Limit,30-10-2024,17:48:12,872,3648.73,3181692.56,50.88,BSE,Auto,Pending,07-08-2025,INR,3629.16,3671.57,Intraday
4034,366,256,Sell,Limit,16-10-2024,03:55:06,954,1000.15,954143.1,59.51,NSE,Auto,Cancelled,08-12-2024,INR,960.37,1008.51,F&O
4035,404,7,Buy,StopLoss,05-01-2025,09:09:11,944,4431.02,4182882.88,52.32,NSE,FMCG,Pending,27-11-2024,INR,4399.11,4475.83,Intraday
4036,449,192,Sell,StopLoss,02-12-2024,15:00:40,497,803.21,399195.37,37.4,BSE,Banking,Pending,20-03-2025,INR,784.87,816.21,Intraday
4037,118,131,Buy,Limit,07-09-2024,00:25:03,758,2307.1,1748781.8,67.56,BSE,Auto,Executed,30-10-2024,INR,2260.91,2318.47,Intraday
4038,482,212,Sell,Market,08-10-2024,10:13:52,379,175.71,66594.09,6.56,BSE,Banking,Executed,02-07-2025,INR,159.77,196.69,Delivery
4039,343,125,Buy,Market,10-02-2025,04:18:22,732,269.51,197281.32,97.28,NSE,Pharma,Executed,30-05-2025,INR,233.14,280.02,F&O
4040,48,292,Buy,Limit,06-02-2025,07:51:21,315,2248.23,708192.45,29.87,NSE,Auto,Executed,23-12-2024,INR,2235.7,2274.72,F&O
4041,462,39,Buy,StopLoss,28-02-2025,06:56:00,882,4230.7,3731477.4,46.9,BSE,IT,Cancelled,01-10-2024,INR,4210.72,4261.98,Delivery
4042,35,108,Buy,Limit,19-12-2024,20:07:28,497,520.01,258444.97,64.76,NSE,Auto,Cancelled,31-07-2025,INR,490.94,532.79,Intraday
4043,187,48,Buy,Limit,05-01-2025,15:30:27,136,1490.95,202769.2,38.4,NSE,IT,Pending,19-09-2024,INR,1446.57,1538.52,Delivery
4044,81,20,Sell,Limit,14-01-2025,20:17:08,499,4098.42,2045111.58,22.26,NSE,Banking,Pending,12-08-2025,INR,4054.54,4144.81,Delivery
4045,34,148,Buy,StopLoss,05-02-2025,01:17:54,64,2970.2,190092.8,43.77,NSE,IT,Executed,27-12-2024,INR,2930.43,2978.42,Delivery
4046,444,16,Sell,Market,07-01-2025,01:04:58,591,4683.58,2767995.78,92.63,BSE,IT,Pending,03-10-2024,INR,4646.1,4721.94,F&O
4047,330,58,Sell,Market,13-08-2025,17:08:54,361,759.69,274248.09,69.87,NSE,IT,Pending,14-09-2024,INR,747.97,776.73,F&O
4048,484,265,Sell,StopLoss,18-03-2025,02:24:11,744,1254.18,933109.92,12.61,BSE,Energy,Pending,14-01-2025,INR,1209.92,1299.24,Intraday
4049,500,174,Buy,StopLoss,03-03-2025,04:41:55,21,2276.14,47798.94,88.74,BSE,IT,Cancelled,13-02-2025,INR,2246.07,2300.96,Delivery
4050,96,254,Buy,Market,12-08-2025,16:43:21,346,153.53,53121.38,97.56,BSE,Pharma,Pending,31-03-2025,INR,104.74,164.91,Delivery
4051,198,176,Sell,Limit,19-03-2025,19:06:50,720,4950.71,3564511.2,53.24,BSE,Pharma,Executed,19-01-2025,INR,4910.99,4967.31,F&O
