Trade_ID,User_ID,Stock_ID,Order_Type,Order_Mode,Trade_Date,Trade_Time,Quantity,Price_Per_Share,Total_Value,BrokerageFee,Exchange,Sector,Trade_Status,Settlement_Date,Currency,StopLoss,Target_Price,Holding_Type
16001,216,152,Sell,Market,08-04-2025,07:40:17,310,3098.63,960575.3,66.33,BSE,IT,Cancelled,04-05-2025,INR,3056.7,3135.69,Delivery
16002,166,245,Buy,StopLoss,20-08-2024,12:57:09,785,3149.71,2472522.35,43.44,NSE,Energy,Cancelled,13-10-2024,INR,3130.89,3168.08,F&O
16003,445,174,Sell,Limit,13-12-2024,02:27:53,146,1685.91,246142.86,83,BSE,IT,Executed,07-05-2025,INR,1640.07,1734.6,Intraday
16004,321,183,Buy,StopLoss,11-09-2024,15:27:39,756,2024.47,1530499.32,73.03,BSE,Auto,Cancelled,29-01-2025,INR,2008.62,2054.29,F&O
16005,177,272,Sell,Limit,10-09-2024,00:05:37,365,4077.55,1488305.75,35.48,BSE,Energy,Pending,12-08-2025,INR,4029.9,4094.64,Delivery
16006,267,29,Buy,StopLoss,21-03-2025,13:51:40,427,4833.01,2063695.27,49.89,BSE,IT,Cancelled,12-11-2024,INR,4819.07,4841.73,Delivery
16007,465,78,Sell,StopLoss,06-08-2025,20:28:43,577,1211.17,698845.09,98.39,NSE,Banking,Executed,17-09-2024,INR,1162.19,1217.03,F&O
16008,12,154,Buy,StopLoss,19-07-2025,22:23:06,865,2993.2,2589118,28.95,BSE,Pharma,Pending,14-05-2025,INR,2988.05,3008.39,F&O
16009,402,89,Sell,Limit,28-04-2025,03:13:37,971,1109.88,1077693.48,71.7,NSE,FMCG,Cancelled,03-03-2025,INR,1061.89,1136.53,Delivery
16010,280,275,Sell,StopLoss,14-04-2025,10:08:45,103,2081.21,214364.63,34.05,NSE,Pharma,Pending,03-10-2024,INR,2070.84,2097.23,F&O
16011,111,115,Buy,Market,25-04-2025,06:31:55,528,1061.72,560588.16,65.19,BSE,FMCG,Executed,21-01-2025,INR,1030.05,1080.46,Delivery
16012,113,66,Buy,Market,08-09-2024,08:44:30,590,1518.02,895631.8,84.18,NSE,IT,Pending,30-07-2025,INR,1489.36,1537.8,F&O
16013,140,158,Buy,StopLoss,12-07-2025,14:42:48,596,1860.55,1108887.8,24.31,BSE,Energy,Cancelled,30-04-2025,INR,1838.95,1895.91,F&O
